GW,OR,#,OP,GWR,GWP,PB,TM,TC,£,Chip
GW5,492083,,357,3865901,52,11,1,0,101.4,
GW4,549095,,305,3763037,75,12,1,0,100.8,
GW3,286975,,230,4018507,55,8,2,0,100.5,TC
GW2,308472,,175,249696,116,23,0,0,100.2,
GW1,1987556,,59,1987559,59,6,0,0,100.0,
